review_count	yelping_since	useful	funny	cool	fans	average_stars
100-200	2009	100-200	0-100	0-100	10-20	3.5-4.0
100-200	2009	100-200	0-100	0-100	10-20	3.5-4.0
100-200	2009	100-200	0-100	0-100	10-20	3.5-4.0
100-200	2009	200-300	0-100	0-100	0-10	3.5-4.0
100-200	2009	200-300	0-100	0-100	0-10	3.5-4.0
100-200	2009	200-300	0-100	0-100	0-10	3.5-4.0
100-200	2009	200-300	0-100	0-100	0-10	3.5-4.0
100-200	2009	200-300	0-100	0-100	0-10	3.5-4.0
100-200	2009	200-300	0-100	0-100	0-10	3.5-4.0
100-200	2009	200-300	0-100	0-100	0-10	4.0-4.5
100-200	2009	200-300	0-100	0-100	0-10	4.0-4.5
100-200	2009	200-300	0-100	0-100	0-10	4.0-4.5
100-200	2009	200-300	0-100	100-200	0-10	3.5-4.0
100-200	2009	200-300	0-100	100-200	0-10	3.5-4.0
100-200	2009	200-300	0-100	100-200	10-20	4.0-4.5
100-200	2009	200-300	0-100	100-200	10-20	4.0-4.5
100-200	2009	200-300	0-100	100-200	10-20	4.0-4.5
100-200	2009	200-300	100-200	0-100	0-10	3.0-3.5
100-200	2009	200-300	100-200	0-100	0-10	3.0-3.5
100-200	2009	300-400	100-200	100-200	10-20	3.5-4.0
100-200	2009	300-400	100-200	100-200	10-20	3.5-4.0
100-200	2010	0-100	0-100	0-100	0-10	2.5-3.0
100-200	2010	0-100	0-100	0-100	0-10	2.5-3.0
100-200	2010	0-100	0-100	0-100	0-10	3.5-4.0
100-200	2010	0-100	0-100	0-100	0-10	3.5-4.0
100-200	2010	0-100	0-100	0-100	0-10	3.5-4.0
100-200	2010	0-100	0-100	0-100	0-10	4.0-4.5
100-200	2010	0-100	0-100	0-100	0-10	4.0-4.5
100-200	2010	100-200	0-100	0-100	0-10	3.0-3.5
100-200	2010	100-200	0-100	0-100	0-10	3.0-3.5
100-200	2010	100-200	0-100	0-100	0-10	3.0-3.5
100-200	2010	100-200	0-100	0-100	0-10	3.0-3.5
100-200	2010	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2010	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2010	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2010	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2010	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2010	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2010	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2010	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2010	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2010	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2010	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2010	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2010	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2010	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2010	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2010	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2010	200-300	0-100	0-100	0-10	3.0-3.5
100-200	2010	200-300	0-100	0-100	0-10	3.0-3.5
100-200	2010	200-300	0-100	0-100	0-10	3.5-4.0
100-200	2010	200-300	0-100	0-100	0-10	3.5-4.0
100-200	2010	200-300	0-100	0-100	0-10	3.5-4.0
100-200	2010	200-300	0-100	0-100	0-10	3.5-4.0
100-200	2010	200-300	0-100	0-100	10-20	3.5-4.0
100-200	2010	200-300	0-100	0-100	10-20	3.5-4.0
100-200	2010	200-300	0-100	0-100	10-20	3.5-4.0
100-200	2010	300-400	100-200	100-200	10-20	3.5-4.0
100-200	2010	300-400	100-200	100-200	10-20	3.5-4.0
100-200	2011	0-100	0-100	0-100	0-10	3.5-4.0
100-200	2011	0-100	0-100	0-100	0-10	3.5-4.0
100-200	2011	100-200	0-100	0-100	0-10	3.0-3.5
100-200	2011	100-200	0-100	0-100	0-10	3.0-3.5
100-200	2011	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2011	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2011	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2011	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2011	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2011	200-300	0-100	0-100	0-10	3.5-4.0
100-200	2011	200-300	0-100	0-100	0-10	3.5-4.0
100-200	2012	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2012	100-200	0-100	0-100	0-10	4.0-4.5
200-300	2007	100-200	0-100	0-100	0-10	3.5-4.0
200-300	2007	100-200	0-100	0-100	0-10	3.5-4.0
200-300	2007	100-200	0-100	0-100	0-10	3.5-4.0
200-300	2007	500-600	0-100	200-300	10-20	3.5-4.0
200-300	2007	500-600	0-100	200-300	10-20	3.5-4.0
200-300	2007	500-600	0-100	200-300	10-20	3.5-4.0
200-300	2009	200-300	0-100	100-200	10-20	3.0-3.5
200-300	2009	200-300	0-100	100-200	10-20	3.0-3.5
200-300	2009	200-300	0-100	100-200	10-20	3.5-4.0
200-300	2009	200-300	0-100	100-200	10-20	3.5-4.0
200-300	2009	300-400	100-200	100-200	10-20	3.5-4.0
200-300	2009	300-400	100-200	100-200	10-20	3.5-4.0
200-300	2009	300-400	100-200	100-200	10-20	3.5-4.0
200-300	2009	400-500	0-100	100-200	10-20	3.5-4.0
200-300	2009	400-500	0-100	100-200	10-20	3.5-4.0
200-300	2009	400-500	100-200	200-300	20-30	4.0-4.5
200-300	2009	400-500	100-200	200-300	20-30	4.0-4.5
200-300	2009	400-500	100-200	200-300	20-30	4.0-4.5
200-300	2010	200-300	0-100	0-100	0-10	3.5-4.0
200-300	2010	200-300	0-100	0-100	0-10	3.5-4.0
200-300	2010	200-300	0-100	0-100	0-10	3.5-4.0
200-300	2010	300-400	0-100	100-200	10-20	3.5-4.0
200-300	2010	300-400	0-100	100-200	10-20	3.5-4.0
300-400	2006	300-400	100-200	100-200	10-20	3.5-4.0
300-400	2006	300-400	100-200	100-200	10-20	3.5-4.0
300-400	2007	300-400	0-100	100-200	10-20	3.5-4.0
300-400	2007	300-400	0-100	100-200	10-20	3.5-4.0
300-400	2008	400-500	0-100	100-200	10-20	3.5-4.0
300-400	2008	400-500	0-100	100-200	10-20	3.5-4.0
300-400	2008	400-500	100-200	100-200	10-20	3.5-4.0
300-400	2008	400-500	100-200	100-200	10-20	3.5-4.0
300-400	2008	400-500	100-200	100-200	10-20	3.5-4.0
500-600	2007	>2000	>1000	>1000	50-60	3.5-4.0
500-600	2007	>2000	>1000	>1000	50-60	3.5-4.0
500-600	2007	>2000	>1000	>1000	80-90	4.0-4.5
500-600	2007	>2000	>1000	>1000	80-90	4.0-4.5
600-700	2008	>2000	>1000	>1000	>200	3.5-4.0
600-700	2008	>2000	>1000	>1000	>200	3.5-4.0
800-900	2008	>2000	>1000	>1000	100-110	4.0-4.5
800-900	2008	>2000	>1000	>1000	100-110	4.0-4.5
800-900	2008	>2000	>1000	>1000	100-110	4.0-4.5
900-1000	2009	>2000	>1000	>1000	60-70	3.5-4.0
900-1000	2009	>2000	>1000	>1000	60-70	3.5-4.0
	2006	200-300	0-100	100-200	0-10	4.0-4.5
	2006	200-300	0-100	100-200	0-10	4.0-4.5
	2006	300-400	100-200	100-200	10-20	3.5-4.0
	2006	>2000	>1000	>1000	110-120	3.5-4.0
	2006	>2000	>1000	>1000	60-70	3.5-4.0
	2006	>2000	>1000	>1000	60-70	3.5-4.0
	2007	1000-1100	200-300	400-500	40-50	3.5-4.0
	2007	300-400	100-200	200-300	10-20	3.5-4.0
	2007	400-500	100-200	200-300	10-20	3.5-4.0
	2007	>2000	>1000	>1000	70-80	3.5-4.0
	2007	>2000	>1000	>1000	70-80	3.5-4.0
	2007	>2000	>1000	>1000	90-100	3.5-4.0
	2007	>2000	>1000	>1000	>200	3.5-4.0
	2007	>2000	>1000	>1000	>200	3.5-4.0
	2007	>2000	>1000	>1000	>200	3.5-4.0
	2008	100-200	0-100	0-100	0-10	3.5-4.0
	2008	300-400	100-200	100-200	0-10	3.0-3.5
	2008	300-400	100-200	100-200	0-10	3.0-3.5
	2008	300-400	100-200	100-200	0-10	3.0-3.5
	2008	400-500	100-200	100-200	10-20	3.5-4.0
	2008	>2000	>1000	>1000	>200	4.0-4.5
	2008	>2000	>1000	>1000	>200	4.0-4.5
	2009	100-200	0-100	0-100	0-10	3.5-4.0
	2009	100-200	0-100	0-100	10-20	4.0-4.5
	2009	200-300	0-100	0-100	0-10	3.5-4.0
	2009	200-300	0-100	0-100	0-10	3.5-4.0
	2009	200-300	0-100	100-200	0-10	3.5-4.0
	2009	500-600	100-200	200-300	20-30	3.5-4.0
	2009	500-600	200-300	200-300	30-40	3.5-4.0
	2009	>2000	>1000	>1000	50-60	3.5-4.0
	2010	100-200	0-100	0-100	0-10	3.5-4.0
	2010	100-200	0-100	0-100	0-10	3.5-4.0
	2010	100-200	0-100	0-100	0-10	4.0-4.5
	2010	200-300	0-100	0-100	0-10	4.0-4.5
	2010	200-300	0-100	0-100	10-20	4.0-4.5
	2010	200-300	0-100	100-200	10-20	4.0-4.5
	2010	300-400	0-100	100-200	0-10	3.5-4.0
	2010	300-400	0-100	100-200	10-20	4.0-4.5
	2010	300-400	100-200	200-300	10-20	3.5-4.0
	2010	600-700	100-200	200-300	40-50	3.5-4.0
	2010	>2000	>1000	>1000	120-130	3.5-4.0
	2011	100-200	0-100	0-100	0-10	4.0-4.5
	2011	300-400	100-200	100-200	0-10	3.5-4.0
	2011	300-400	100-200	100-200	10-20	3.5-4.0
100-200		0-100	0-100	0-100	0-10	4.0-4.5
100-200		0-100	0-100	0-100	0-10	4.0-4.5
100-200		100-200	0-100	0-100	10-20	3.5-4.0
100-200		100-200	0-100	0-100	10-20	4.0-4.5
100-200		100-200	0-100	0-100	10-20	4.0-4.5
100-200		100-200	100-200	0-100	10-20	3.5-4.0
100-200		200-300	0-100	0-100	0-10	3.0-3.5
100-200		200-300	0-100	0-100	10-20	3.5-4.0
100-200		200-300	0-100	0-100	10-20	4.0-4.5
100-200		200-300	0-100	0-100	10-20	4.0-4.5
100-200		200-300	0-100	100-200	0-10	3.0-3.5
100-200		200-300	0-100	100-200	0-10	3.5-4.0
100-200		200-300	0-100	100-200	10-20	4.0-4.5
100-200		200-300	100-200	100-200	0-10	3.5-4.0
100-200		200-300	100-200	100-200	0-10	4.0-4.5
100-200		200-300	100-200	100-200	10-20	3.5-4.0
100-200		200-300	100-200	100-200	10-20	3.5-4.0
100-200		300-400	100-200	100-200	0-10	3.5-4.0
100-200		300-400	100-200	100-200	10-20	3.0-3.5
100-200		300-400	100-200	100-200	20-30	3.5-4.0
100-200		300-400	100-200	200-300	10-20	3.5-4.0
100-200		400-500	100-200	200-300	10-20	3.5-4.0
100-200		500-600	100-200	200-300	20-30	3.0-3.5
100-200		500-600	100-200	300-400	0-10	3.5-4.0
100-200		500-600	200-300	200-300	10-20	3.5-4.0
100-200	2005		100-200	200-300	10-20	3.5-4.0
100-200	2006		0-100	0-100	0-10	3.0-3.5
100-200	2006	300-400	0-100		10-20	3.0-3.5
100-200	2006	300-400	0-100		10-20	3.0-3.5
100-200	2007		0-100	100-200	0-10	3.5-4.0
100-200	2007		0-100	100-200	0-10	3.5-4.0
100-200	2007		100-200	200-300	10-20	3.5-4.0
100-200	2007	0-100	0-100	0-100	0-10	
100-200	2007	200-300	100-200	0-100		3.0-3.5
100-200	2007	300-400	100-200	200-300	10-20	
100-200	2007	300-400	100-200	200-300	10-20	
100-200	2007	500-600		300-400	0-10	3.5-4.0
100-200	2007	500-600	200-300	200-300	10-20	
100-200	2007	500-600	200-300	200-300	10-20	
100-200	2007	600-700		400-500	50-60	4.0-4.5
100-200	2007	600-700		400-500	50-60	4.0-4.5
100-200	2008		0-100	0-100	0-10	3.5-4.0
100-200	2008		0-100	100-200	0-10	3.5-4.0
100-200	2008		200-300	100-200	10-20	3.5-4.0
100-200	2008		200-300	100-200	10-20	3.5-4.0
100-200	2008	100-200	0-100		0-10	3.5-4.0
100-200	2008	100-200	0-100		0-10	4.0-4.5
100-200	2008	100-200	0-100	0-100		3.5-4.0
100-200	2008	100-200	0-100	0-100	0-10	
100-200	2008	200-300		100-200	0-10	3.0-3.5
100-200	2008	200-300	0-100		0-10	3.5-4.0
100-200	2008	200-300	0-100	0-100		3.5-4.0
100-200	2008	200-300	0-100	0-100	0-10	
100-200	2008	200-300	0-100	100-200		4.0-4.5
100-200	2008	200-300	300-400	100-200		3.0-3.5
100-200	2008	300-400	0-100	0-100	0-10	
100-200	2009		0-100	0-100	0-10	3.5-4.0
100-200	2009		0-100	100-200	0-10	4.0-4.5
100-200	2009		0-100	100-200	0-10	4.0-4.5
100-200	2009	0-100	0-100	0-100		4.0-4.5
100-200	2009	0-100	0-100	0-100	0-10	
100-200	2009	100-200	0-100	0-100	0-10	
100-200	2009	100-200	0-100	100-200		4.0-4.5
100-200	2009	200-300		0-100	0-10	3.5-4.0
100-200	2009	200-300	0-100	0-100	0-10	
100-200	2009	200-300	0-100	100-200		3.5-4.0
100-200	2009	200-300	0-100	100-200	0-10	
100-200	2009	200-300	100-200		0-10	3.0-3.5
100-200	2009	300-400	100-200	100-200		3.5-4.0
100-200	2009	300-400	100-200	100-200		3.5-4.0
100-200	2009	300-400	100-200	100-200	10-20	
100-200	2010		0-100	0-100	0-10	4.0-4.5
100-200	2010		0-100	0-100	10-20	4.0-4.5
100-200	2010		0-100	100-200	0-10	3.5-4.0
100-200	2010	100-200		0-100	0-10	3.0-3.5
100-200	2010	100-200	100-200	0-100		3.0-3.5
100-200	2010	200-300		0-100	0-10	3.0-3.5
100-200	2010	200-300	0-100	0-100		4.0-4.5
100-200	2010	200-300	0-100	100-200	10-20	
100-200	2010	300-400		100-200	10-20	3.5-4.0
100-200	2010	500-600		200-300	10-20	3.5-4.0
100-200	2011		0-100	0-100	0-10	3.0-3.5
100-200	2011		0-100	0-100	0-10	4.0-4.5
100-200	2011	100-200	0-100	0-100		3.5-4.0
100-200	2011	200-300		0-100	10-20	3.5-4.0
200-300		0-100	0-100	0-100	0-10	4.0-4.5
200-300		0-100	0-100	0-100	0-10	4.0-4.5
200-300		200-300	0-100	100-200	20-30	3.5-4.0
200-300		200-300	0-100	100-200	20-30	3.5-4.0
200-300		300-400	0-100	100-200	0-10	3.5-4.0
200-300		300-400	100-200	100-200	10-20	3.0-3.5
200-300		300-400	100-200	100-200	10-20	3.5-4.0
200-300		400-500	100-200	100-200	10-20	3.5-4.0
200-300		400-500	100-200	100-200	10-20	3.5-4.0
200-300		500-600	100-200	100-200	10-20	3.5-4.0
200-300		500-600	100-200	300-400	10-20	4.0-4.5
200-300	2006		200-300	200-300	20-30	3.5-4.0
200-300	2006		200-300	200-300	20-30	3.5-4.0
200-300	2007		100-200	100-200	10-20	3.5-4.0
200-300	2007		100-200	100-200	10-20	3.5-4.0
200-300	2007		100-200	200-300	10-20	3.5-4.0
200-300	2007		200-300	200-300	20-30	3.5-4.0
200-300	2007		200-300	200-300	20-30	3.5-4.0
200-300	2007		300-400	200-300	10-20	3.5-4.0
200-300	2007		400-500	400-500	20-30	3.5-4.0
200-300	2007		400-500	400-500	20-30	3.5-4.0
200-300	2007	500-600		200-300	10-20	3.5-4.0
200-300	2007	500-600	200-300		20-30	3.5-4.0
200-300	2008		100-200	100-200	10-20	3.5-4.0
200-300	2008	300-400		100-200	10-20	3.5-4.0
200-300	2008	300-400	0-100	100-200		3.5-4.0
200-300	2008	400-500		200-300	20-30	3.5-4.0
200-300	2008	400-500	100-200	100-200		3.5-4.0
200-300	2008	600-700		300-400	30-40	3.5-4.0
200-300	2009		100-200	100-200	10-20	3.5-4.0
200-300	2009		100-200	100-200	10-20	3.5-4.0
200-300	2009		200-300	100-200	10-20	3.5-4.0
200-300	2009		200-300	100-200	10-20	3.5-4.0
200-300	2009	200-300		100-200	0-10	3.5-4.0
200-300	2009	200-300		100-200	10-20	3.0-3.5
200-300	2009	300-400		100-200	10-20	3.5-4.0
200-300	2009	300-400		100-200	10-20	4.0-4.5
200-300	2009	300-400	0-100	100-200	10-20	
200-300	2009	300-400	100-200	100-200	10-20	
200-300	2009	400-500	0-100	100-200		3.5-4.0
200-300	2009	500-600		200-300	20-30	3.5-4.0
200-300	2009	500-600	200-300	200-300		3.5-4.0
200-300	2009	700-800	100-200	300-400		3.5-4.0
200-300	2010		0-100	100-200	10-20	4.0-4.5
200-300	2010		0-100	100-200	20-30	3.5-4.0
200-300	2010		100-200	100-200	10-20	3.0-3.5
200-300	2010	200-300	0-100		10-20	4.0-4.5
200-300	2010	300-400		100-200	10-20	4.0-4.5
200-300	2010	300-400	0-100	100-200		3.5-4.0
200-300	2010	300-400	100-200		10-20	3.5-4.0
200-300	2010	400-500	100-200	100-200	10-20	
200-300	2010	400-500	100-200	100-200	10-20	
200-300	2010	500-600	100-200	200-300	10-20	
200-300	2010	500-600	200-300	300-400		3.5-4.0
200-300	2011		100-200	100-200	10-20	3.5-4.0
200-300	2011		100-200	100-200	10-20	3.5-4.0
200-300	2011	400-500	100-200		10-20	3.5-4.0
300-400		200-300	0-100	100-200	0-10	3.5-4.0
300-400		300-400	100-200	100-200	10-20	3.5-4.0
300-400		300-400	100-200	100-200	20-30	3.5-4.0
300-400		400-500	100-200	100-200	10-20	3.5-4.0
300-400		400-500	100-200	100-200	20-30	3.5-4.0
300-400		400-500	100-200	200-300	10-20	3.5-4.0
300-400		400-500	100-200	200-300	10-20	3.5-4.0
300-400		500-600	100-200	100-200	10-20	3.5-4.0
300-400		500-600	100-200	200-300	20-30	3.5-4.0
300-400		500-600	200-300	100-200	10-20	3.5-4.0
300-400		600-700	100-200	200-300	20-30	4.0-4.5
300-400	2006	600-700	300-400	400-500	30-40	
300-400	2007		>1000	>1000	100-110	3.5-4.0
300-400	2008		100-200	100-200	0-10	3.0-3.5
300-400	2008		100-200	100-200	0-10	3.0-3.5
300-400	2008		100-200	100-200	20-30	3.5-4.0
300-400	2008		100-200	100-200	20-30	3.5-4.0
300-400	2008	300-400	100-200	100-200		3.5-4.0
300-400	2008	400-500	100-200	100-200		3.5-4.0
300-400	2008	400-500	100-200	200-300	10-20	
300-400	2008	500-600	200-300		0-10	3.0-3.5
300-400	2008	800-900		400-500	20-30	3.5-4.0
300-400	2008	800-900		400-500	20-30	3.5-4.0
300-400	2008	800-900	100-200		20-30	3.5-4.0
300-400	2009		300-400	300-400	10-20	3.5-4.0
300-400	2009		300-400	300-400	10-20	3.5-4.0
300-400	2009		>1000	>1000	50-60	3.0-3.5
300-400	2009	400-500	100-200	100-200		3.5-4.0
300-400	2009	500-600		100-200	10-20	3.5-4.0
300-400	2010		200-300	200-300	20-30	4.0-4.5
300-400	2010		200-300	200-300	20-30	4.0-4.5
300-400	2010		200-300	200-300	20-30	4.0-4.5
300-400	2011	300-400		100-200	10-20	3.5-4.0
400-500		400-500	100-200	200-300	30-40	3.5-4.0
400-500		400-500	100-200	200-300	30-40	3.5-4.0
400-500		600-700	100-200	200-300	20-30	3.5-4.0
400-500		700-800	200-300	300-400	30-40	3.5-4.0
400-500		>2000	>1000	>1000	100-110	3.5-4.0
400-500		>2000	>1000	>1000	100-110	3.5-4.0
400-500		>2000	>1000	>1000	50-60	3.5-4.0
400-500		>2000	>1000	>1000	>200	3.5-4.0
400-500	2006	500-600	100-200		10-20	3.0-3.5
400-500	2006	500-600	100-200		10-20	3.0-3.5
400-500	2006	500-600	100-200	200-300		3.5-4.0
400-500	2007	1400-1500	>1000	>1000		3.5-4.0
400-500	2007	1400-1500	>1000	>1000		3.5-4.0
400-500	2007	>2000	>1000	>1000		3.5-4.0
400-500	2007	>2000	>1000	>1000		3.5-4.0
400-500	2007	>2000	>1000	>1000		3.5-4.0
400-500	2008	>2000	>1000	>1000		3.5-4.0
400-500	2008	>2000	>1000	>1000		3.5-4.0
400-500	2009	1000-1100		400-500	60-70	3.5-4.0
400-500	2009	1000-1100		400-500	60-70	3.5-4.0
400-500	2009	>2000	>1000	>1000		3.5-4.0
400-500	2010		200-300	300-400	40-50	3.5-4.0
400-500	2010	700-800	200-300	300-400		3.5-4.0
400-500	2010	700-800	200-300	300-400		3.5-4.0
400-500	2010	>2000	>1000	>1000		3.5-4.0
400-500	2010	>2000	>1000	>1000		3.5-4.0
400-500	2010	>2000	>1000	>1000		3.5-4.0
500-600		>2000	>1000	>1000	50-60	3.5-4.0
500-600		>2000	>1000	>1000	60-70	3.5-4.0
500-600		>2000	>1000	>1000	80-90	4.0-4.5
500-600	2007	>2000	>1000	>1000		4.0-4.5
500-600	2008	>2000	>1000	>1000		3.5-4.0
500-600	2008	>2000	>1000	>1000		3.5-4.0
500-600	2009	900-1000	200-300	500-600		4.0-4.5
500-600	2010	>2000	>1000	>1000		4.0-4.5
500-600	2010	>2000	>1000	>1000		4.0-4.5
600-700		>2000	>1000	>1000	80-90	3.5-4.0
600-700		>2000	>1000	>1000	90-100	3.5-4.0
600-700		>2000	>1000	>1000	>200	3.5-4.0
600-700		>2000	>1000	>1000	>200	3.5-4.0
600-700		>2000	>1000	>1000	>200	3.5-4.0
600-700	2007	>2000	>1000	>1000		3.5-4.0
600-700	2007	>2000	>1000	>1000		3.5-4.0
600-700	2008	>2000	>1000	>1000		3.0-3.5
600-700	2008	>2000	>1000	>1000		3.5-4.0
600-700	2008	>2000	>1000	>1000		4.0-4.5
600-700	2008	>2000	>1000	>1000		4.0-4.5
600-700	2008	>2000	>1000	>1000		4.0-4.5
600-700	2010		200-300	100-200	20-30	3.0-3.5
700-800		>2000	>1000	>1000	120-130	3.5-4.0
700-800		>2000	>1000	>1000	120-130	3.5-4.0
700-800	2006	>2000	>1000	>1000		3.5-4.0
700-800	2008	>2000	>1000	>1000		3.5-4.0
700-800	2008	>2000	>1000	>1000		3.5-4.0
700-800	2009	>2000	>1000	>1000		3.5-4.0
700-800	2009	>2000	>1000	>1000		3.5-4.0
800-900	2006	>2000	>1000	>1000		3.5-4.0
800-900	2006	>2000	>1000	>1000		3.5-4.0
800-900	2006	>2000	>1000	>1000		3.5-4.0
800-900	2006	>2000	>1000	>1000		3.5-4.0
800-900	2007	>2000	>1000	>1000		3.5-4.0
800-900	2009	>2000	>1000	>1000		3.5-4.0
800-900	2009	>2000	>1000	>1000		3.5-4.0
800-900	2009	>2000	>1000	>1000		3.5-4.0
800-900	2009	>2000	>1000	>1000		3.5-4.0
800-900	2009	>2000	>1000	>1000		3.5-4.0
800-900	2010	>2000	>1000	>1000		3.5-4.0
800-900	2010	>2000	>1000	>1000		3.5-4.0
900-1000		>2000	>1000	>1000	110-120	3.5-4.0
900-1000		>2000	>1000	>1000	>200	4.0-4.5
900-1000	2006	1600-1700		>1000	50-60	4.0-4.5
