review_count	yelping_since	useful	funny	cool	fans	average_stars
400-500	2011	800-900	200-300	200-300	60-70	3.5-4.0
100-200	2011	1000-1100	200-300	600-700	80-90	3.5-4.0
300-400	2008	600-700	400-500	400-500	30-40	3.5-4.0
100-200	2008	100-200	0-100	0-100	0-10	4.0-4.5
200-300	2010	1300-1400	700-800	600-700	30-40	3.5-4.0
100-200	2006	100-200	0-100	0-100	0-10	3.5-4.0
500-600	2008	500-600	200-300	200-300	20-30	3.5-4.0
500-600	2007	>2000	>1000	>1000	80-90	4.0-4.5
100-200	2007	200-300	0-100	0-100	10-20	3.5-4.0
100-200	2010	100-200	0-100	0-100	0-10	4.0-4.5
200-300	2007	300-400	100-200	100-200	0-10	4.0-4.5
100-200	2010	100-200	0-100	0-100	0-10	3.5-4.0
300-400	2011	700-800	300-400	400-500	20-30	3.5-4.0
100-200	2011	100-200	0-100	0-100	0-10	3.5-4.0
600-700	2008	>2000	>1000	>1000	100-110	4.0-4.5
700-800	2012	1900-2000	600-700	>1000	130-140	3.5-4.0
100-200	2011	200-300	0-100	0-100	10-20	3.5-4.0
100-200	2010	0-100	0-100	0-100	0-10	2.5-3.0
100-200	2009	600-700	300-400	300-400	20-30	3.5-4.0
200-300	2009	300-400	100-200	100-200	10-20	3.0-3.5
100-200	2008	100-200	0-100	0-100	10-20	4.0-4.5
300-400	2007	700-800	100-200	400-500	40-50	3.5-4.0
300-400	2006	500-600	200-300	100-200	10-20	3.5-4.0
100-200	2007	600-700	300-400	400-500	50-60	4.0-4.5
500-600	2010	>2000	>1000	>1000	60-70	3.5-4.0
400-500	2007	300-400	0-100	100-200	20-30	3.5-4.0
100-200	2008	200-300	100-200	100-200	0-10	3.5-4.0
600-700	2010	1100-1200	200-300	300-400	60-70	4.0-4.5
100-200	2008	300-400	100-200	100-200	20-30	3.5-4.0
100-200	2006	300-400	0-100	100-200	10-20	3.0-3.5
300-400	2007	1100-1200	400-500	500-600	30-40	4.0-4.5
300-400	2009	500-600	100-200	100-200	10-20	3.5-4.0
200-300	2011	600-700	100-200	100-200	10-20	3.5-4.0
600-700	2011	>2000	>1000	>1000	>200	3.5-4.0
400-500	2008	300-400	100-200	100-200	0-10	3.0-3.5
300-400	2007	1400-1500	>1000	>1000	50-60	3.0-3.5
200-300	2008	500-600	100-200	100-200	10-20	3.5-4.0
200-300	2010	900-1000	400-500	200-300	20-30	3.5-4.0
100-200	2009	1500-1600	800-900	>1000	100-110	3.5-4.0
300-400	2010	300-400	0-100	0-100	10-20	3.0-3.5
700-800	2007	1400-1500	500-600	700-800	40-50	3.5-4.0
500-600	2011	500-600	100-200	200-300	20-30	3.5-4.0
100-200	2005	300-400	100-200	200-300	10-20	3.5-4.0
100-200	2010	100-200	100-200	0-100	0-10	3.0-3.5
600-700	2006	1600-1700	300-400	900-1000	60-70	3.5-4.0
200-300	2009	600-700	400-500	400-500	30-40	3.5-4.0
200-300	2009	500-600	200-300	200-300	20-30	3.5-4.0
100-200	2008	300-400	100-200	100-200	0-10	3.0-3.5
200-300	2011	600-700	300-400	400-500	40-50	3.5-4.0
700-800	2011	>2000	700-800	900-1000	50-60	3.0-3.5
100-200	2011	200-300	0-100	0-100	10-20	4.0-4.5
300-400	2008	700-800	200-300	400-500	60-70	3.5-4.0
300-400	2009	1400-1500	>1000	700-800	30-40	3.0-3.5
500-600	2008	1700-1800	900-1000	>1000	120-130	4.0-4.5
100-200	2008	900-1000	400-500	600-700	30-40	3.5-4.0
900-1000	2008	1800-1900	>1000	900-1000	50-60	3.0-3.5
300-400	2007	1200-1300	500-600	600-700	50-60	4.0-4.5
400-500	2010	1800-1900	>1000	>1000	40-50	4.0-4.5
300-400	2006	1600-1700	>1000	>1000	30-40	4.0-4.5
400-500	2010	>2000	>1000	>1000	>200	3.5-4.0
300-400	2010	1700-1800	900-1000	>1000	20-30	3.5-4.0
100-200	2007	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2009	500-600	300-400	300-400	10-20	3.5-4.0
100-200	2011	300-400	200-300	300-400	30-40	4.0-4.5
100-200	2008	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2009	0-100	0-100	0-100	0-10	4.0-4.5
600-700	2008	400-500	200-300	200-300	10-20	3.5-4.0
500-600	2008	800-900	200-300	200-300	30-40	3.5-4.0
600-700	2010	600-700	100-200	200-300	30-40	3.5-4.0
700-800	2009	>2000	900-1000	>1000	70-80	4.0-4.5
800-900	2009	>2000	>1000	>1000	90-100	3.5-4.0
200-300	2006	800-900	400-500	500-600	10-20	4.0-4.5
200-300	2010	500-600	100-200	300-400	10-20	4.0-4.5
200-300	2009	400-500	100-200	200-300	30-40	4.0-4.5
300-400	2011	300-400	200-300	100-200	10-20	3.5-4.0
300-400	2006	900-1000	100-200	300-400	30-40	3.5-4.0
200-300	2010	400-500	100-200	100-200	10-20	4.0-4.5
400-500	2007	300-400	100-200	100-200	20-30	4.0-4.5
400-500	2009	1000-1100	200-300	200-300	10-20	3.5-4.0
100-200	2010	100-200	0-100	0-100	0-10	3.0-3.5
100-200	2009	200-300	100-200	100-200	10-20	3.0-3.5
100-200	2010	100-200	100-200	0-100	10-20	3.0-3.5
100-200	2009	300-400	100-200	100-200	40-50	3.5-4.0
300-400	2009	600-700	300-400	300-400	10-20	3.5-4.0
100-200	2006	100-200	200-300	100-200	20-30	3.5-4.0
700-800	2008	>2000	>1000	>1000	130-140	3.5-4.0
400-500	2006	500-600	100-200	200-300	10-20	3.0-3.5
300-400	2007	700-800	400-500	400-500	10-20	4.0-4.5
300-400	2007	600-700	100-200	300-400	20-30	3.5-4.0
200-300	2010	500-600	100-200	200-300	10-20	3.0-3.5
500-600	2010	>2000	>1000	>1000	80-90	4.0-4.5
100-200	2009	700-800	100-200	200-300	30-40	4.0-4.5
300-400	2009	500-600	0-100	0-100	10-20	4.0-4.5
100-200	2009	100-200	100-200	0-100	10-20	3.5-4.0
400-500	2008	1200-1300	200-300	500-600	20-30	3.0-3.5
200-300	2006	200-300	100-200	200-300	20-30	3.5-4.0
400-500	2007	>2000	>1000	>1000	>200	3.5-4.0
300-400	2008	300-400	100-200	100-200	0-10	3.0-3.5
800-900	2009	1400-1500	500-600	800-900	50-60	4.0-4.5
100-200	2008	100-200	0-100	100-200	0-10	4.0-4.5
100-200	2008	300-400	0-100	0-100	0-10	4.0-4.5
900-1000	2007	>2000	>1000	>1000	110-120	3.5-4.0
400-500	2006	>2000	600-700	>1000	>200	3.5-4.0
200-300	2008	300-400	0-100	100-200	10-20	3.5-4.0
100-200	2007	300-400	100-200	200-300	10-20	3.5-4.0
300-400	2008	800-900	500-600	400-500	20-30	3.5-4.0
300-400	2008	400-500	0-100	200-300	20-30	3.5-4.0
300-400	2006	300-400	100-200	100-200	10-20	3.5-4.0
600-700	2011	800-900	300-400	400-500	10-20	3.5-4.0
200-300	2008	600-700	200-300	300-400	10-20	3.0-3.5
100-200	2006	300-400	100-200	100-200	10-20	3.5-4.0
300-400	2009	1500-1600	500-600	700-800	70-80	3.5-4.0
600-700	2008	700-800	200-300	200-300	20-30	3.5-4.0
900-1000	2009	>2000	>1000	>1000	60-70	3.5-4.0
500-600	2006	500-600	100-200	300-400	10-20	3.5-4.0
300-400	2005	200-300	0-100	100-200	0-10	3.5-4.0
300-400	2010	700-800	200-300	200-300	10-20	3.5-4.0
400-500	2009	900-1000	500-600	600-700	100-110	3.0-3.5
300-400	2007	>2000	>1000	>1000	110-120	3.0-3.5
400-500	2007	500-600	300-400	200-300	50-60	4.0-4.5
100-200	2006	100-200	0-100	0-100	0-10	3.0-3.5
400-500	2010	500-600	0-100	0-100	20-30	3.5-4.0
200-300	2009	400-500	100-200	200-300	20-30	4.0-4.5
100-200	2011	0-100	0-100	0-100	0-10	3.5-4.0
100-200	2010	0-100	0-100	0-100	0-10	2.5-3.0
100-200	2009	200-300	0-100	100-200	10-20	4.0-4.5
200-300	2009	800-900	300-400	400-500	40-50	3.5-4.0
100-200	2009	200-300	0-100	100-200	10-20	3.5-4.0
200-300	2011	700-800	300-400	300-400	30-40	3.5-4.0
400-500	2007	1000-1100	100-200	300-400	20-30	3.0-3.5
300-400	2010	800-900	300-400	400-500	50-60	3.5-4.0
100-200	2009	900-1000	>1000	700-800	60-70	3.5-4.0
300-400	2008	700-800	200-300	100-200	20-30	3.5-4.0
100-200	2007	200-300	100-200	100-200	0-10	3.0-3.5
100-200	2010	100-200	0-100	100-200	0-10	4.5-5.0
800-900	2010	>2000	>1000	>1000	120-130	3.5-4.0
200-300	2010	200-300	0-100	0-100	0-10	4.0-4.5
100-200	2009	100-200	0-100	0-100		2.5-3.0
100-200	2008	100-200	0-100	0-100	0-10	4.0-4.5
300-400	2008	1600-1700	>1000	>1000	60-70	3.5-4.0
400-500	2009	400-500	100-200	300-400	20-30	3.5-4.0
800-900	2009	>2000	>1000	>1000	>200	3.5-4.0
800-900	2008	>2000	>1000	>1000	100-110	4.0-4.5
100-200	2009	600-700	300-400	300-400	40-50	3.0-3.5
700-800	2007	1300-1400	300-400	700-800	30-40	3.0-3.5
200-300	2007	300-400	100-200	200-300	10-20	3.5-4.0
300-400	2007	300-400	0-100	100-200	10-20	3.5-4.0
400-500	2009	700-800	200-300	300-400	30-40	3.5-4.0
200-300	2008	1000-1100	500-600	800-900	30-40	4.0-4.5
300-400	2009	300-400	100-200	100-200	20-30	3.5-4.0
300-400	2008	300-400	200-300	100-200	0-10	3.5-4.0
800-900	2007	>2000	>1000	>1000	60-70	3.5-4.0
100-200	2010	200-300	0-100	0-100	0-10	3.0-3.5
100-200	2006	200-300	100-200	100-200	30-40	4.0-4.5
100-200	2006	0-100	0-100	0-100	0-10	3.0-3.5
100-200	2009	300-400	0-100	100-200	0-10	4.0-4.5
300-400	2010	300-400	100-200	100-200	10-20	3.5-4.0
100-200	2010	100-200	0-100	0-100	0-10	4.0-4.5
200-300	2009	300-400	0-100	100-200	20-30	3.0-3.5
400-500	2009	1300-1400	500-600	900-1000	40-50	4.0-4.5
300-400	2008	800-900	100-200	100-200	20-30	3.5-4.0
100-200	2009	100-200	0-100	0-100	0-10	3.0-3.5
100-200	2008	500-600	100-200	200-300	10-20	3.5-4.0
100-200	2007	200-300	0-100	100-200	10-20	3.5-4.0
600-700	2008	600-700	300-400	200-300	40-50	3.0-3.5
700-800	2010	1600-1700	400-500	900-1000	30-40	3.5-4.0
100-200	2006	400-500	100-200	200-300	0-10	4.0-4.5
100-200	2007	400-500	100-200	200-300	10-20	3.5-4.0
300-400	2011	400-500	100-200	200-300	10-20	3.5-4.0
100-200	2006	600-700	400-500	400-500	10-20	3.5-4.0
400-500	2011	1500-1600	400-500	500-600	30-40	3.5-4.0
300-400	2011	700-800	100-200	200-300	10-20	4.0-4.5
400-500	2008	1000-1100	200-300	300-400	30-40	4.0-4.5
100-200	2009	200-300	0-100	100-200	10-20	4.0-4.5
300-400	2010	300-400	0-100	100-200	10-20	4.0-4.5
200-300	2007	1400-1500	700-800	>1000	170-180	3.5-4.0
900-1000	2006	>2000	>1000	>1000	90-100	3.5-4.0
300-400	2008	700-800	300-400	500-600	20-30	4.0-4.5
100-200	2005	200-300	100-200	200-300	10-20	3.5-4.0
300-400	2011	1500-1600	700-800	800-900	40-50	3.5-4.0
300-400	2006	300-400	100-200	100-200	10-20	3.5-4.0
100-200	2011	200-300	200-300	100-200	10-20	3.5-4.0
900-1000	2008	>2000	>1000	>1000	>200	4.0-4.5
200-300	2010	300-400	100-200	100-200	10-20	4.0-4.5
100-200	2012	400-500	100-200	200-300	20-30	3.0-3.5
200-300	2012	0-100	0-100	0-100	0-10	4.0-4.5
400-500	2007	1100-1200	500-600	700-800	20-30	3.5-4.0
800-900	2006	>2000	>1000	>1000	>200	3.5-4.0
400-500	2009	1700-1800	>1000	>1000	80-90	3.5-4.0
300-400	2005	>2000	>1000	>1000	180-190	3.5-4.0
100-200	2010	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2011	100-200	0-100	0-100	0-10	4.0-4.5
500-600	2007	>2000	>1000	>1000	120-130	3.0-3.5
300-400	2007	200-300	100-200	100-200	0-10	3.5-4.0
300-400	2006	900-1000	200-300	700-800	20-30	4.0-4.5
200-300	2006	800-900	500-600	700-800	90-100	3.5-4.0
600-700	2008	800-900	100-200	300-400	20-30	3.0-3.5
300-400	2007	1000-1100	700-800	800-900	20-30	3.5-4.0
100-200	2009	200-300	0-100	0-100	0-10	3.5-4.0
100-200	2009	100-200	0-100	0-100	10-20	4.0-4.5
100-200	2011	200-300	0-100	0-100	0-10	3.5-4.0
700-800	2009	>2000	>1000	>1000	110-120	3.5-4.0
0-100	2011	100-200	0-100	0-100	0-10	3.0-3.5
400-500	2007	1300-1400	300-400	600-700	50-60	3.5-4.0
200-300	2010	200-300	0-100	0-100	0-10	3.5-4.0
100-200	2008	200-300	0-100	100-200	10-20	3.5-4.0
100-200	2008	300-400	0-100	100-200	0-10	3.5-4.0
400-500	2010	600-700	0-100	200-300	10-20	3.5-4.0
400-500	2009	700-800	100-200	100-200	20-30	4.0-4.5
100-200	2008	100-200	0-100	0-100	20-30	3.5-4.0
500-600	2007	>2000	>1000	>1000	50-60	3.5-4.0
400-500	2008	900-1000	100-200	300-400	30-40	3.5-4.0
200-300	2009	500-600	100-200	200-300	20-30	3.5-4.0
300-400	2006	300-400	300-400	300-400	20-30	4.0-4.5
500-600	2007	1300-1400	500-600	>1000	30-40	3.5-4.0
200-300	2009	1900-2000	>1000	>1000	60-70	3.5-4.0
100-200	2009	400-500	100-200	100-200	0-10	2.5-3.0
500-600	2011	1600-1700	900-1000	>1000	50-60	4.0-4.5
200-300	2009	500-600	100-200	200-300	0-10	3.5-4.0
100-200	2009	100-200	0-100	0-100	0-10	3.0-3.5
200-300	2009	200-300	0-100	100-200	10-20	3.5-4.0
200-300	2007	1300-1400	>1000	>1000	60-70	3.5-4.0
400-500	2007	1300-1400	>1000	900-1000	40-50	3.5-4.0
600-700	2006	1300-1400	700-800	700-800	30-40	3.5-4.0
400-500	2009	1000-1100	400-500	400-500	60-70	3.5-4.0
100-200	2009	300-400	100-200	100-200	20-30	3.5-4.0
400-500	2007	800-900	400-500	400-500	20-30	3.5-4.0
800-900	2006	1400-1500	300-400	600-700	70-80	3.5-4.0
300-400	2006	600-700	300-400	400-500	30-40	4.0-4.5
100-200	2011	200-300	0-100	0-100	0-10	4.0-4.5
400-500	2007	700-800	300-400	400-500	30-40	3.5-4.0
400-500	2009	1800-1900	600-700	600-700	40-50	3.0-3.5
100-200	2009	200-300	0-100	0-100	0-10	4.0-4.5
200-300	2011	300-400	100-200	100-200	0-10	3.5-4.0
100-200	2006	100-200	0-100	0-100	10-20	4.0-4.5
100-200	2009	100-200	0-100	0-100	10-20	3.5-4.0
500-600	2007	400-500	100-200	200-300	20-30	4.0-4.5
200-300	2007	400-500	100-200	200-300	10-20	3.5-4.0
