selections	count
average_stars:3.5-4.0;yelping_since:2011	44
average_stars:3.5-4.0;fans:40-50	44
average_stars:3.0-3.5;funny:100-200	44
average_stars:3.5-4.0;review_count:600-700	43
fans:10-20;useful:200-300	43
funny:>1000;yelping_since:2007	43
funny:100-200;yelping_since:2008	43
funny:100-200;useful:400-500	43
fans:0-10;funny:100-200	43
cool:100-200;review_count:300-400	43
fans:10-20;useful:500-600	42
cool:200-300;review_count:200-300	42
fans:0-10;yelping_since:2008	42
fans:10-20;review_count:300-400	41
fans:10-20;yelping_since:2007	41
average_stars:4.0-4.5;yelping_since:2008	41
cool:0-100;fans:10-20	41
average_stars:3.0-3.5;fans:10-20	41
funny:100-200;review_count:300-400	40
review_count:200-300;yelping_since:2010	40
average_stars:3.0-3.5;yelping_since:2008	40
average_stars:3.0-3.5;cool:0-100	40
fans:20-30;review_count:300-400	39
average_stars:4.0-4.5;yelping_since:2007	39
cool:200-300;useful:400-500	39
average_stars:3.5-4.0;cool:400-500	39
cool:200-300;review_count:100-200	39
cool:300-400;funny:200-300	39
average_stars:3.0-3.5;funny:0-100	38
review_count:200-300;yelping_since:2007	38
funny:0-100;useful:300-400	38
average_stars:4.0-4.5;review_count:300-400	38
funny:100-200;useful:500-600	38
average_stars:3.0-3.5;cool:100-200	38
average_stars:3.0-3.5;yelping_since:2009	38
fans:10-20;funny:200-300	37
average_stars:4.0-4.5;useful:100-200	37
cool:>1000;yelping_since:2008	37
average_stars:3.5-4.0;useful:600-700	37
average_stars:4.0-4.5;funny:100-200	37
fans:10-20;useful:400-500	37
average_stars:3.5-4.0;funny:400-500	37
funny:100-200;yelping_since:2007	36
useful:200-300;yelping_since:2009	36
average_stars:4.0-4.5;review_count:200-300	36
funny:100-200;yelping_since:2010	35
cool:200-300;funny:200-300	35
average_stars:4.0-4.5;cool:100-200	35
cool:100-200;yelping_since:2010	35
fans:20-30;review_count:200-300	35
fans:20-30;yelping_since:2008	34
review_count:200-300;useful:500-600	34
average_stars:3.5-4.0;useful:800-900	34
funny:200-300;review_count:300-400	33
funny:200-300;yelping_since:2008	33
cool:>1000;yelping_since:2009	33
fans:0-10;review_count:200-300	32
cool:100-200;useful:400-500	32
review_count:100-200;yelping_since:2011	31
cool:100-200;fans:20-30	31
fans:20-30;funny:200-300	31
average_stars:3.5-4.0;useful:700-800	31
average_stars:4.0-4.5;funny:>1000	31
fans:20-30;yelping_since:2007	31
funny:100-200;useful:200-300	30
average_stars:4.0-4.5;fans:20-30	30
cool:0-100;yelping_since:2008	30
review_count:200-300;useful:300-400	30
funny:200-300;review_count:200-300	30
funny:200-300;useful:500-600	30
funny:0-100;yelping_since:2007	30
average_stars:3.0-3.5;review_count:200-300	29
fans:20-30;yelping_since:2009	29
useful:>2000;yelping_since:2007	29
review_count:200-300;yelping_since:2008	29
fans:0-10;yelping_since:2007	29
funny:>1000;yelping_since:2008	29
funny:0-100;useful:0-100	28
useful:100-200;yelping_since:2010	28
fans:20-30;useful:400-500	28
average_stars:4.0-4.5;funny:200-300	28
review_count:300-400;yelping_since:2009	28
cool:>1000;review_count:400-500	28
average_stars:4.0-4.5;cool:200-300	28
cool:>1000;review_count:500-600	28
useful:>2000;yelping_since:2008	28
average_stars:3.5-4.0;cool:500-600	28
cool:0-100;useful:0-100	28
funny:>1000;yelping_since:2009	28
funny:200-300;yelping_since:2010	27
average_stars:3.5-4.0;fans:60-70	27
fans:20-30;review_count:400-500	27
cool:>1000;yelping_since:2010	27
funny:>1000;review_count:400-500	27
review_count:200-300;useful:400-500	27
average_stars:4.0-4.5;fans:30-40	27
cool:200-300;yelping_since:2010	27
funny:200-300;review_count:100-200	27
cool:>1000;review_count:300-400	27
cool:200-300;yelping_since:2007	26
cool:300-400;fans:20-30	26
review_count:300-400;yelping_since:2010	26
review_count:300-400;yelping_since:2007	26
cool:100-200;funny:200-300	26
useful:100-200;yelping_since:2009	26
fans:0-10;useful:0-100	26
cool:>1000;review_count:600-700	26
average_stars:3.5-4.0;review_count:700-800	26
average_stars:4.0-4.5;useful:>2000	26
fans:20-30;review_count:100-200	26
fans:30-40;funny:200-300	26
average_stars:3.5-4.0;fans:50-60	26
fans:0-10;useful:300-400	26
cool:>1000;yelping_since:2006	26
cool:200-300;yelping_since:2009	26
funny:0-100;yelping_since:2011	25
review_count:100-200;yelping_since:2006	25
funny:200-300;yelping_since:2009	25
fans:20-30;yelping_since:2010	25
fans:10-20;yelping_since:2006	25
cool:200-300;yelping_since:2008	25
review_count:200-300;useful:200-300	25
review_count:100-200;useful:0-100	25
fans:30-40;yelping_since:2008	24
average_stars:3.0-3.5;yelping_since:2007	24
cool:100-200;yelping_since:2007	24
fans:0-10;yelping_since:2011	24
useful:>2000;yelping_since:2009	24
average_stars:3.0-3.5;useful:200-300	24
fans:30-40;review_count:300-400	24
average_stars:4.0-4.5;review_count:400-500	24
review_count:400-500;yelping_since:2007	24
cool:0-100;yelping_since:2007	23
review_count:800-900;useful:>2000	23
review_count:300-400;yelping_since:2006	23
useful:300-400;yelping_since:2010	23
cool:0-100;yelping_since:2011	23
review_count:500-600;useful:>2000	23
average_stars:3.0-3.5;yelping_since:2010	23
funny:100-200;yelping_since:2006	23
cool:>1000;review_count:800-900	23
average_stars:3.5-4.0;cool:600-700	23
cool:200-300;review_count:300-400	23
fans:30-40;yelping_since:2009	23
funny:>1000;review_count:600-700	23
cool:300-400;fans:10-20	23
average_stars:3.0-3.5;funny:>1000	23
useful:100-200;yelping_since:2008	22
fans:20-30;useful:500-600	22
fans:10-20;useful:100-200	22
funny:100-200;review_count:400-500	22
cool:300-400;funny:100-200	22
average_stars:3.0-3.5;cool:>1000	22
average_stars:4.0-4.5;useful:200-300	22
cool:>1000;fans:60-70	22
cool:0-100;review_count:200-300	22
average_stars:4.0-4.5;yelping_since:2011	22
review_count:400-500;yelping_since:2009	22
average_stars:3.0-3.5;review_count:300-400	22
cool:>1000;fans:80-90	22
review_count:100-200;useful:500-600	22
cool:>1000;fans:>200	21
average_stars:3.5-4.0;review_count:800-900	21
fans:20-30;funny:0-100	21
cool:300-400;yelping_since:2009	21
average_stars:3.5-4.0;useful:1000-1100	21
average_stars:4.0-4.5;yelping_since:2006	21
review_count:400-500;yelping_since:2010	21
cool:100-200;useful:500-600	21
funny:300-400;yelping_since:2007	21
useful:300-400;yelping_since:2008	21
cool:300-400;review_count:200-300	21
fans:>200;useful:>2000	21
cool:300-400;fans:30-40	21
useful:200-300;yelping_since:2010	21
funny:>1000;review_count:300-400	21
useful:400-500;yelping_since:2008	21
review_count:500-600;yelping_since:2007	21
average_stars:3.0-3.5;useful:300-400	20
useful:300-400;yelping_since:2009	20
fans:>200;funny:>1000	20
funny:>1000;review_count:500-600	20
funny:100-200;yelping_since:2011	20
average_stars:4.0-4.5;funny:300-400	20
funny:300-400;review_count:300-400	20
cool:400-500;funny:300-400	20
useful:400-500;yelping_since:2009	20
cool:300-400;useful:500-600	20
review_count:100-200;useful:400-500	20
average_stars:3.5-4.0;fans:80-90	20
average_stars:4.0-4.5;useful:400-500	20
cool:300-400;funny:300-400	20
average_stars:4.0-4.5;cool:300-400	20
cool:300-400;useful:600-700	20
fans:30-40;review_count:200-300	20
review_count:600-700;useful:>2000	20
review_count:300-400;useful:400-500	20
useful:>2000;yelping_since:2010	20
funny:0-100;review_count:300-400	20
funny:>1000;review_count:800-900	20
review_count:200-300;useful:600-700	19
useful:200-300;yelping_since:2008	19
useful:500-600;yelping_since:2008	19
funny:0-100;yelping_since:2006	19
review_count:300-400;useful:300-400	19
cool:200-300;useful:600-700	19
cool:300-400;review_count:300-400	19
review_count:600-700;yelping_since:2008	19
average_stars:3.5-4.0;funny:600-700	19
review_count:500-600;yelping_since:2008	19
review_count:700-800;useful:>2000	19
useful:200-300;yelping_since:2007	19
average_stars:3.0-3.5;yelping_since:2006	19
fans:20-30;funny:300-400	19
cool:200-300;fans:30-40	19
fans:30-40;funny:100-200	18
cool:300-400;yelping_since:2010	18
average_stars:3.0-3.5;cool:200-300	18
cool:300-400;yelping_since:2008	18
cool:400-500;yelping_since:2008	18
cool:>1000;fans:50-60	18
cool:200-300;review_count:400-500	18
average_stars:3.0-3.5;fans:20-30	18
useful:500-600;yelping_since:2010	18
fans:20-30;useful:600-700	18
review_count:400-500;yelping_since:2008	18
funny:>1000;yelping_since:2006	18
review_count:400-500;useful:>2000	18
funny:0-100;useful:400-500	18
cool:300-400;yelping_since:2007	18
funny:200-300;yelping_since:2007	18
cool:>1000;review_count:700-800	18
average_stars:3.5-4.0;useful:1100-1200	18
average_stars:4.0-4.5;review_count:500-600	18
cool:300-400;review_count:100-200	18
funny:>1000;yelping_since:2010	18
useful:500-600;yelping_since:2007	18
average_stars:3.0-3.5;useful:500-600	18
average_stars:4.0-4.5;useful:300-400	18
cool:200-300;yelping_since:2006	18
funny:200-300;useful:600-700	17
funny:300-400;yelping_since:2009	17
cool:400-500;review_count:300-400	17
review_count:300-400;useful:500-600	17
review_count:300-400;useful:700-800	17
cool:100-200;yelping_since:2006	17
cool:400-500;funny:200-300	17
fans:10-20;yelping_since:2011	17
average_stars:4.0-4.5;cool:400-500	17
fans:80-90;funny:>1000	17
funny:100-200;useful:600-700	17
funny:300-400;review_count:200-300	17
average_stars:3.5-4.0;funny:500-600	17
average_stars:3.5-4.0;review_count:900-1000	17
cool:100-200;yelping_since:2011	17
useful:500-600;yelping_since:2009	17
fans:40-50;yelping_since:2009	17
fans:60-70;funny:>1000	17
average_stars:3.0-3.5;useful:100-200	17
fans:80-90;useful:>2000	17
cool:400-500;funny:400-500	16
cool:300-400;useful:700-800	16
useful:>2000;yelping_since:2006	16
average_stars:3.0-3.5;review_count:400-500	16
fans:30-40;review_count:400-500	16
funny:300-400;yelping_since:2008	16
cool:>1000;review_count:900-1000	16
fans:40-50;review_count:400-500	16
average_stars:3.0-3.5;funny:200-300	16
cool:400-500;yelping_since:2007	16
fans:20-30;yelping_since:2006	16
cool:0-100;funny:100-200	16
funny:100-200;useful:700-800	16
fans:20-30;useful:700-800	16
review_count:300-400;useful:800-900	16
fans:30-40;funny:300-400	16
average_stars:3.5-4.0;cool:800-900	16
fans:0-10;review_count:300-400	16
average_stars:3.0-3.5;useful:>2000	16
average_stars:4.0-4.5;useful:500-600	15
cool:>1000;fans:70-80	15
useful:500-600;yelping_since:2006	15
average_stars:3.5-4.0;fans:70-80	15
fans:10-20;funny:400-500	15
review_count:300-400;useful:600-700	15
fans:30-40;useful:800-900	15
funny:300-400;useful:600-700	15
funny:400-500;yelping_since:2008	15
cool:400-500;fans:20-30	15
funny:200-300;useful:800-900	15
cool:400-500;useful:600-700	15
average_stars:3.5-4.0;useful:1300-1400	15
useful:300-400;yelping_since:2007	15
average_stars:3.5-4.0;funny:800-900	15
average_stars:3.5-4.0;funny:700-800	15
funny:>1000;review_count:700-800	15
average_stars:3.5-4.0;fans:>200	15
fans:20-30;funny:400-500	14
fans:10-20;useful:600-700	14
average_stars:4.0-4.5;fans:40-50	14
funny:200-300;useful:400-500	14
fans:40-50;review_count:200-300	14
average_stars:3.5-4.0;cool:700-800	14
funny:400-500;yelping_since:2007	14
fans:30-40;useful:600-700	14
average_stars:3.5-4.0;useful:1200-1300	14
fans:50-60;funny:>1000	14
average_stars:4.0-4.5;useful:600-700	14
fans:40-50;yelping_since:2010	14
review_count:200-300;yelping_since:2011	14
funny:200-300;yelping_since:2006	14
average_stars:4.0-4.5;fans:50-60	14
useful:400-500;yelping_since:2010	14
fans:20-30;useful:300-400	13
fans:20-30;useful:800-900	13
funny:200-300;useful:700-800	13
funny:200-300;yelping_since:2011	13
cool:200-300;useful:300-400	13
funny:300-400;review_count:100-200	13
average_stars:4.0-4.5;funny:400-500	13
average_stars:3.0-3.5;cool:300-400	13
cool:400-500;fans:40-50	13
funny:200-300;useful:1000-1100	13
cool:400-500;useful:800-900	13
cool:500-600;fans:30-40	13
cool:300-400;useful:800-900	13
review_count:400-500;yelping_since:2006	13
fans:30-40;review_count:500-600	13
average_stars:3.0-3.5;fans:40-50	13
cool:300-400;review_count:400-500	13
fans:30-40;yelping_since:2010	13
cool:200-300;funny:0-100	13
useful:200-300;yelping_since:2011	13
fans:50-60;yelping_since:2007	13
cool:500-600;review_count:300-400	13
fans:0-10;yelping_since:2006	13
review_count:400-500;useful:1000-1100	13
fans:40-50;yelping_since:2008	13
useful:600-700;yelping_since:2007	13
funny:200-300;review_count:400-500	13
funny:400-500;review_count:500-600	12
average_stars:3.0-3.5;funny:300-400	12
fans:30-40;yelping_since:2007	12
review_count:600-700;yelping_since:2010	12
useful:700-800;yelping_since:2009	12
fans:30-40;yelping_since:2006	12
fans:10-20;funny:300-400	12
fans:50-60;funny:300-400	12
fans:0-10;useful:500-600	12
useful:400-500;yelping_since:2007	12
cool:400-500;review_count:200-300	12
funny:400-500;review_count:200-300	12
cool:>1000;fans:40-50	12
useful:600-700;yelping_since:2008	12
average_stars:3.5-4.0;cool:900-1000	12
funny:400-500;useful:600-700	12
useful:600-700;yelping_since:2009	12
cool:300-400;fans:40-50	12
average_stars:3.5-4.0;fans:90-100	12
fans:80-90;yelping_since:2009	12
funny:300-400;yelping_since:2006	12
review_count:300-400;yelping_since:2011	12
average_stars:4.0-4.5;review_count:600-700	12
fans:40-50;yelping_since:2007	12
funny:200-300;review_count:500-600	12
cool:>1000;fans:110-120	12
cool:>1000;review_count:200-300	12
fans:40-50;funny:300-400	12
cool:500-600;funny:300-400	12
average_stars:3.5-4.0;useful:0-100	12
fans:40-50;review_count:300-400	12
cool:0-100;useful:300-400	12
average_stars:4.0-4.5;cool:500-600	12
average_stars:3.5-4.0;yelping_since:2005	12
cool:>1000;useful:1700-1800	12
cool:500-600;review_count:500-600	12
average_stars:3.5-4.0;useful:900-1000	11
average_stars:3.0-3.5;useful:600-700	11
fans:40-50;funny:100-200	11
fans:10-20;review_count:400-500	11
useful:800-900;yelping_since:2008	11
fans:20-30;yelping_since:2011	11
funny:>1000;review_count:900-1000	11
average_stars:3.0-3.5;yelping_since:2011	11
cool:400-500;yelping_since:2006	11
cool:600-700;fans:30-40	11
cool:>1000;funny:700-800	11
average_stars:3.5-4.0;useful:1400-1500	11
cool:>1000;funny:800-900	11
fans:90-100;useful:>2000	11
cool:400-500;useful:1000-1100	11
cool:>1000;fans:90-100	11
useful:700-800;yelping_since:2008	11
fans:110-120;funny:>1000	11
cool:>1000;useful:1600-1700	11
cool:500-600;fans:20-30	11
funny:100-200;review_count:500-600	11
fans:20-30;review_count:500-600	11
review_count:100-200;useful:600-700	11
review_count:900-1000;useful:>2000	11
fans:10-20;useful:700-800	11
average_stars:3.0-3.5;fans:50-60	11
fans:60-70;useful:>2000	11
cool:200-300;fans:0-10	11
cool:400-500;fans:50-60	10
review_count:200-300;useful:700-800	10
cool:500-600;yelping_since:2008	10
fans:50-60;review_count:300-400	10
fans:50-60;useful:>2000	10
review_count:800-900;yelping_since:2009	10
cool:500-600;funny:200-300	10
fans:50-60;yelping_since:2006	10
cool:400-500;fans:30-40	10
useful:100-200;yelping_since:2007	10
fans:40-50;funny:>1000	10
funny:300-400;useful:800-900	10
fans:50-60;yelping_since:2008	10
review_count:500-600;yelping_since:2010	10
average_stars:4.0-4.5;useful:900-1000	10
fans:70-80;useful:>2000	10
fans:110-120;useful:>2000	10
average_stars:4.0-4.5;funny:500-600	10
fans:30-40;funny:400-500	10
fans:70-80;funny:>1000	10
average_stars:3.0-3.5;review_count:500-600	10
fans:50-60;review_count:500-600	10
useful:100-200;yelping_since:2011	10
cool:200-300;yelping_since:2011	10
cool:400-500;review_count:400-500	10
useful:800-900;yelping_since:2010	10
review_count:500-600;yelping_since:2009	10
review_count:600-700;yelping_since:2006	10
cool:200-300;useful:700-800	10
cool:100-200;useful:100-200	10
review_count:200-300;yelping_since:2006	10
cool:200-300;funny:300-400	10
fans:90-100;funny:>1000	10
cool:300-400;funny:400-500	10
fans:0-10;funny:200-300	10
average_stars:4.0-4.5;fans:80-90	10
cool:0-100;yelping_since:2006	10
average_stars:4.0-4.5;fans:60-70	10
useful:1000-1100;yelping_since:2009	10
funny:300-400;useful:500-600	10
funny:400-500;review_count:400-500	10
fans:40-50;funny:200-300	10
useful:300-400;yelping_since:2011	10
fans:40-50;funny:400-500	9
funny:>1000;useful:1900-2000	9
cool:>1000;fans:100-110	9
fans:30-40;useful:500-600	9
funny:300-400;useful:1100-1200	9
cool:600-700;review_count:400-500	9
cool:300-400;review_count:500-600	9
useful:0-100;yelping_since:2009	9
cool:400-500;useful:700-800	9
fans:20-30;useful:1000-1100	9
funny:500-600;review_count:300-400	9
useful:100-200;yelping_since:2006	9
cool:500-600;funny:400-500	9
useful:1100-1200;yelping_since:2008	9
cool:400-500;yelping_since:2009	9
fans:30-40;useful:1100-1200	9
average_stars:4.0-4.5;review_count:800-900	9
cool:>1000;useful:1900-2000	9
fans:60-70;yelping_since:2007	9
funny:300-400;useful:700-800	9
useful:1000-1100;yelping_since:2007	9
average_stars:3.5-4.0;useful:1600-1700	9
cool:600-700;funny:300-400	9
average_stars:3.0-3.5;useful:400-500	9
useful:600-700;yelping_since:2010	9
fans:60-70;review_count:600-700	9
cool:300-400;yelping_since:2006	9
fans:40-50;review_count:500-600	9
funny:300-400;review_count:600-700	9
cool:600-700;yelping_since:2009	9
funny:400-500;yelping_since:2009	9
cool:300-400;yelping_since:2011	9
average_stars:4.0-4.5;useful:0-100	9
funny:300-400;review_count:500-600	9
fans:30-40;useful:700-800	9
funny:200-300;useful:300-400	9
review_count:300-400;useful:>2000	9
useful:1400-1500;yelping_since:2007	9
fans:10-20;review_count:500-600	9
fans:50-60;funny:200-300	9
funny:500-600;yelping_since:2009	9
useful:700-800;yelping_since:2007	9
fans:30-40;yelping_since:2011	9
review_count:600-700;yelping_since:2007	9
cool:500-600;useful:1100-1200	9
average_stars:3.0-3.5;review_count:700-800	8
funny:400-500;review_count:100-200	8
fans:60-70;review_count:400-500	8
useful:800-900;yelping_since:2007	8
funny:500-600;yelping_since:2007	8
average_stars:4.0-4.5;useful:1000-1100	8
review_count:700-800;yelping_since:2008	8
funny:300-400;yelping_since:2010	8
cool:>1000;useful:1400-1500	8
fans:40-50;useful:1000-1100	8
review_count:400-500;yelping_since:2011	8
review_count:800-900;yelping_since:2006	8
useful:200-300;yelping_since:2006	8
cool:>1000;fans:120-130	8
review_count:400-500;useful:800-900	8
average_stars:3.0-3.5;funny:400-500	8
fans:40-50;review_count:600-700	8
fans:100-110;funny:>1000	8
funny:200-300;review_count:600-700	8
average_stars:4.0-4.5;review_count:700-800	8
average_stars:3.5-4.0;fans:110-120	8
review_count:200-300;useful:800-900	8
fans:40-50;useful:600-700	8
average_stars:4.0-4.5;useful:1100-1200	8
funny:400-500;review_count:300-400	8
fans:0-10;useful:400-500	8
funny:0-100;review_count:400-500	8
average_stars:3.5-4.0;useful:1500-1600	8
review_count:500-600;useful:500-600	8
fans:80-90;review_count:500-600	8
fans:40-50;yelping_since:2011	8
review_count:700-800;yelping_since:2009	8
useful:300-400;yelping_since:2006	8
review_count:600-700;yelping_since:2009	8
cool:600-700;review_count:300-400	8
average_stars:4.0-4.5;useful:700-800	8
funny:300-400;useful:1200-1300	8
useful:600-700;yelping_since:2006	8
cool:>1000;funny:900-1000	8
average_stars:3.0-3.5;review_count:600-700	8
funny:600-700;yelping_since:2008	8
review_count:500-600;useful:1100-1200	8
fans:60-70;yelping_since:2009	8
average_stars:3.5-4.0;useful:1900-2000	8
review_count:300-400;useful:900-1000	8
fans:60-70;yelping_since:2010	8
review_count:700-800;yelping_since:2006	8
average_stars:3.5-4.0;useful:1700-1800	8
cool:500-600;review_count:400-500	8
fans:60-70;yelping_since:2008	8
average_stars:4.0-4.5;useful:1600-1700	7
review_count:400-500;useful:600-700	7
fans:>200;yelping_since:2008	7
review_count:700-800;yelping_since:2007	7
average_stars:3.0-3.5;funny:700-800	7
cool:600-700;fans:40-50	7
cool:400-500;review_count:600-700	7
review_count:400-500;useful:400-500	7
review_count:400-500;useful:500-600	7
cool:800-900;yelping_since:2008	7
funny:100-200;useful:100-200	7
cool:>1000;useful:1300-1400	7
cool:500-600;yelping_since:2009	7
cool:600-700;yelping_since:2007	7
funny:300-400;yelping_since:2011	7
average_stars:2.5-3.0;review_count:100-200	7
review_count:200-300;useful:100-200	7
review_count:500-600;yelping_since:2011	7
average_stars:3.5-4.0;funny:900-1000	7
cool:100-200;review_count:400-500	7
cool:200-300;funny:400-500	7
cool:400-500;fans:10-20	7
fans:80-90;yelping_since:2007	7
cool:600-700;yelping_since:2008	7
average_stars:4.0-4.5;fans:70-80	7
funny:200-300;useful:900-1000	7
review_count:500-600;yelping_since:2006	7
cool:500-600;fans:40-50	7
funny:700-800;yelping_since:2008	7
funny:300-400;review_count:400-500	7
cool:400-500;review_count:100-200	7
cool:200-300;review_count:500-600	7
funny:>1000;review_count:200-300	7
review_count:700-800;yelping_since:2010	7
funny:400-500;yelping_since:2010	7
fans:30-40;review_count:100-200	7
fans:40-50;useful:800-900	7
cool:>1000;useful:1500-1600	7
average_stars:3.0-3.5;cool:400-500	7
fans:100-110;useful:>2000	7
fans:40-50;yelping_since:2006	7
cool:>1000;funny:600-700	7
funny:500-600;yelping_since:2008	7
funny:400-500;yelping_since:2011	7
average_stars:3.5-4.0;fans:100-110	7
useful:1300-1400;yelping_since:2007	7
fans:30-40;review_count:700-800	7
fans:30-40;useful:1300-1400	7
review_count:900-1000;yelping_since:2009	7
fans:50-60;yelping_since:2009	7
cool:500-600;yelping_since:2010	7
cool:>1000;useful:1800-1900	7
useful:600-700;yelping_since:2011	7
fans:40-50;useful:1300-1400	7
funny:100-200;useful:800-900	7
review_count:800-900;yelping_since:2010	7
funny:600-700;yelping_since:2010	7
useful:900-1000;yelping_since:2008	7
cool:500-600;useful:1000-1100	7
cool:300-400;useful:400-500	7
cool:0-100;review_count:300-400	7
useful:0-100;yelping_since:2010	7
fans:40-50;funny:500-600	6
cool:600-700;useful:1100-1200	6
cool:300-400;review_count:600-700	6
cool:500-600;useful:800-900	6
fans:60-70;funny:200-300	6
average_stars:4.5-5.0;review_count:100-200	6
