selections	protected_count
cool:300-400;yelping_since:2011	8
fans:80-90;review_count:500-600	8
average_stars:4.0-4.5;useful:0-100	8
funny:300-400;review_count:500-600	8
fans:30-40;useful:700-800	8
fans:40-50;yelping_since:2011	8
review_count:700-800;yelping_since:2009	8
funny:200-300;useful:300-400	8
review_count:300-400;useful:>2000	8
useful:1400-1500;yelping_since:2007	8
useful:300-400;yelping_since:2006	8
review_count:600-700;yelping_since:2009	8
fans:10-20;review_count:500-600	8
fans:50-60;funny:200-300	8
funny:500-600;yelping_since:2009	8
cool:600-700;review_count:300-400	8
average_stars:4.0-4.5;useful:700-800	8
funny:300-400;useful:1200-1300	8
useful:700-800;yelping_since:2007	8
fans:30-40;yelping_since:2011	8
review_count:600-700;yelping_since:2007	8
useful:600-700;yelping_since:2006	8
cool:500-600;useful:1100-1200	8
cool:>1000;funny:900-1000	8
average_stars:3.0-3.5;review_count:600-700	8
funny:600-700;yelping_since:2008	8
review_count:500-600;useful:1100-1200	8
fans:60-70;yelping_since:2009	8
average_stars:3.5-4.0;useful:1900-2000	8
review_count:300-400;useful:900-1000	8
fans:60-70;yelping_since:2010	8
review_count:700-800;yelping_since:2006	8
average_stars:3.5-4.0;useful:1700-1800	8
cool:500-600;review_count:400-500	8
fans:60-70;yelping_since:2008	8
average_stars:4.0-4.5;useful:1600-1700	6
review_count:400-500;useful:600-700	6
fans:>200;yelping_since:2008	6
fans:40-50;funny:500-600	6
cool:600-700;useful:1100-1200	6
cool:300-400;review_count:600-700	6
review_count:700-800;yelping_since:2007	6
average_stars:3.0-3.5;funny:700-800	6
cool:500-600;useful:800-900	6
cool:600-700;fans:40-50	6
cool:400-500;review_count:600-700	6
fans:60-70;funny:200-300	6
average_stars:4.5-5.0;review_count:100-200	6
average_stars:2.5-3.0;funny:0-100	6
useful:1200-1300;yelping_since:2008	6
cool:500-600;yelping_since:2007	6
useful:1600-1700;yelping_since:2006	6
cool:800-900;funny:700-800	6
review_count:400-500;useful:400-500	6
review_count:400-500;useful:500-600	6
cool:800-900;yelping_since:2008	6
useful:1900-2000;yelping_since:2009	6
funny:500-600;review_count:600-700	6
funny:100-200;useful:100-200	6
fans:20-30;funny:>1000	6
average_stars:3.5-4.0;fans:120-130	6
cool:>1000;useful:1300-1400	6
cool:100-200;review_count:500-600	6
useful:400-500;yelping_since:2006	6
cool:500-600;yelping_since:2009	6
cool:600-700;yelping_since:2007	6
funny:300-400;yelping_since:2011	6
cool:400-500;useful:900-1000	6
cool:100-200;useful:600-700	6
cool:500-600;useful:900-1000	6
funny:400-500;useful:500-600	6
cool:500-600;fans:50-60	6
average_stars:2.5-3.0;review_count:100-200	6
review_count:800-900;yelping_since:2007	6
cool:400-500;fans:60-70	6
average_stars:3.0-3.5;funny:500-600	6
cool:900-1000;review_count:600-700	6
fans:120-130;useful:>2000	6
average_stars:3.0-3.5;cool:600-700	6
cool:400-500;review_count:500-600	6
cool:>1000;fans:20-30	6
fans:40-50;funny:700-800	6
review_count:200-300;useful:100-200	6
review_count:500-600;yelping_since:2011	6
cool:800-900;yelping_since:2007	6
average_stars:3.5-4.0;funny:900-1000	6
funny:200-300;review_count:700-800	6
average_stars:2.5-3.0;cool:0-100	6
cool:100-200;review_count:400-500	6
useful:1300-1400;yelping_since:2009	6
cool:200-300;funny:400-500	6
review_count:300-400;useful:200-300	6
cool:500-600;yelping_since:2011	6
cool:400-500;fans:10-20	6
fans:80-90;yelping_since:2007	6
cool:600-700;yelping_since:2008	6
average_stars:4.0-4.5;fans:70-80	6
funny:200-300;useful:900-1000	6
review_count:500-600;yelping_since:2006	6
average_stars:3.5-4.0;useful:1800-1900	6
cool:500-600;fans:40-50	6
funny:700-800;yelping_since:2008	6
useful:1500-1600;yelping_since:2008	6
